company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Paramount Pictures,USA,John Byrum,Comedy,0,444746,639,The Whoopee Boys,R,8/22/1986,88,6.2,Michael O'Keefe,Steve Zacharias,1986
Blake Edwards,USA,Blake Edwards,Comedy,0,4079895,1032,That's Life!,PG-13,10/10/1986,102,6.1,Jack Lemmon,Milton Wexler,1986
Hemdale,USA,Hal Needham,Comedy,0,14926,795,Body Slam,PG,5/21/1987,89,5.3,Dirk Benedict,Shel Lytton,1986
"Rank Organisation, The",UK,David Drury,Thriller,0,750000,1625,Defense of the Realm,PG,11/21/1986,96,6.6,Gabriel Byrne,Martin Stellman,1986
Cinequanon,Argentina,Eliseo Subiela,Drama,0,725000,2991,Man Facing Southeast,R,3/13/1987,105,7.8,Lorenzo Quinteros,Eliseo Subiela,1986
Corporation Image M & M,Canada,Denys Arcand,Comedy,0,1902706,6622,The Decline of the American Empire,R,11/14/1986,101,7.3,Dominique Michel,Denys Arcand,1986
Rastar Films,USA,Jack Fisk,Drama,0,4743287,553,Violets Are Blue...,PG-13,4/25/1986,88,5.7,Sissy Spacek,Naomi Foner,1986
Portreeve,UK,Simon Langton,Thriller,0,1500000,1672,The Whistle Blower,PG,7/10/1987,100,6.2,Michael Caine,Julian Bond,1986
American Playhouse,USA,Jerrold Freedman,Drama,2000000,1301121,448,Native Son,PG,12/12/1986,111,5.9,Victor Love,Richard Wesley,1986
Carson Productions,USA,Eugene Corr,Drama,0,416393,821,Desert Bloom,PG,4/18/1986,105,6.6,Jon Voight,Linda Remy,1986
Alternate Current,USA,Lizzie Borden,Drama,0,1777378,604,Working Girls,UNRATED,3/20/1987,93,6.5,Louise Smith,Lizzie Borden,1986
Ciné Valse,France,Bertrand Blier,Comedy,0,925952,2022,Ménage,Not specified,10/1/1986,84,7,Gérard Depardieu,Bertrand Blier,1986
Caméras Continentales,Denmark,Henning Carlsen,Biography,0,583800,275,Oviri,R,9/5/1986,100,6.2,Donald Sutherland,Henning Carlsen,1986
Film Corporation of Kenya,UK,Raju Patel,Action,0,181410,310,In the Shadow of Kilimanjaro,R,5/9/1986,100,5.1,John Rhys-Davies,T. Michael Harry,1986
Cineplex-Odeon Films,Australia,Tim Burstall,Drama,0,432266,156,Kangaroo,R,3/13/1987,108,6.7,Colin Friels,Evan Jones,1986
Cannon Group,USA,Albert Pyun,Action,0,2390525,935,Dangerously Close,R,5/9/1986,95,6.6,John Stockwell,Scott Fields,1986
Hyperion Pictures,USA,Carroll Ballard,Family,0,781727,578,Nutcracker,G,11/26/1986,100,7.2,Hugh Bigney,Kent Stowell,1986
Produzioni Europee Associate (PEA),Italy,Federico Fellini,Comedy,0,837623,3859,Ginger and Fred,PG-13,3/28/1986,125,7.3,Marcello Mastroianni,Federico Fellini,1986
Metro-Goldwyn-Mayer (MGM),USA,Alan J. Pakula,Crime,0,502237,405,Dream Lover,R,4/2/1986,104,5.1,Kristy McNichol,Jon Boorstin,1986
MTM Enterprises,USA,Allan Burns,Drama,0,6408791,629,Just Between Friends,PG-13,3/21/1986,110,5.9,Mary Tyler Moore,Allan Burns,1986
Lynn-Davis Productions,USA,Gary Hudson,Action,0,145975,218,Thunder Run,PG-13,5/30/1986,90,5.1,Forrest Tucker,Charles Davis,1986
Longshot,USA,Paul Bartel,Comedy,0,1096843,457,The Longshot,PG-13,1/17/1986,89,5.4,Tim Conway,Tim Conway,1986
Silver Screen Partners II,USA,Michael Dinner,Comedy,0,4842778,748,Off Beat,PG,4/11/1986,92,5,Judge Reinhold,Dezsö Magyar,1986
Roundhouse,USA,Joe Roth,Drama,0,2520664,505,Streets of Gold,R,11/14/1986,95,6,Klaus Maria Brandauer,Dezsö Magyar,1986
Convy-Fimberg Productions,USA,Bert Convy,Action,0,351623,237,Weekend Warriors,R,1986-10,100,4.4,Chris Lemmon,Bruce Belland,1986
J&M; Entertainment,UK,Zoran Perisic,Action,18000000,2295500,183,Sky Bandits,PG,10/31/1986,100,4.6,Scott McGinnis,Thom Keyes,1986
Cinetel Films,USA,Fred Olen Ray,Action,1500000,1368912,489,Armed Response,R,10/3/1986,86,4.9,David Carradine,T.L. Lankford,1986
Cannon City Produktie Maatschappij B.V.,Netherlands,Franco Zeffirelli,Drama,0,189042,424,Otello,PG,9/12/1986,100,7.2,Plácido Domingo,Arrigo Boito,1986
Alliance Communications Corporation,USA,Rob Nilsson,Drama,0,440438,171,On the Edge,PG-13,5/2/1986,95,7.1,Bruce Dern,Roy Kissin,1986
Action Communications,USA,Frank Harris,Action,0,63860,256,Low Blow,R,1986-04,100,3.5,Leo Fong,Leo Fong,1986
Cote Blanche Productions,USA,Glen Pitre,Drama,0,1444618,391,Belizaire the Cajun,PG,6/13/1986,103,6.4,Armand Assante,Glen Pitre,1986
Les Films 13,France,Claude Lelouch,Drama,0,227510,496,A Man and a Woman: 20 Years Later,PG,8/15/1986,112,5.8,Anouk Aimée,Claude Lelouch,1986
New Line Cinema,USA,Clay Borris,Action,0,1900000,542,Quiet Cool,R,11/7/1986,100,5.7,James Remar,Clay Borris,1986
Not specified,USA,Gideon Amir,Action,0,2497233,368,Behind Enemy Lines,R,4/4/1986,90,4.9,David Carradine,Malcolm Barbour,1986
Not specified,USA,Francis Schaeffer,Action,0,193153,163,Wired to Kill,R,11/14/1986,86,4.2,Emily Longstreth,Francis Schaeffer,1986
Fringe Dwellers Productions,Australia,Bruce Beresford,Drama,0,149440,305,The Fringe Dwellers,PG,1986-10,98,6.7,Kristina Nehm,Bruce Beresford,1986
T. Films,France,André Téchiné,Crime,0,164187,565,Scene of the Crime,Not specified,1987-05,90,6.9,Nicolas Giraudi,André Téchiné,1986
Hanna-Barbera Productions,USA,Don Lusk,Animation,0,1338264,397,GoBots: Battle of the Rock Lords,G,3/21/1986,75,5.8,Margot Kidder,Jeff Segal,1986
Channel Four Films,UK,Charles Gormley,Comedy,0,267249,227,The Gospel According to Vic,PG,3/13/1987,92,6.1,Tom Conti,Charles Gormley,1986
Grace,USA,Dominic Orlando,Action,0,601451,103,Knights of the City,R,2/14/1986,87,4.8,Leon Isaac Kennedy,Leon Isaac Kennedy,1986
Embassy Pictures,USA,Robert M. Young,Comedy,0,18209,467,Saving Grace,PG,11/13/1986,112,7,Tom Conti,Celia Gittelson,1986
Hunter/MFG Production,USA,Gary Grillo,Action,0,492367,139,Jackals,R,9/19/1986,97,5.3,Jack Lucarelli,Dennis A. Pratt,1986
Cannon Films,USA,Filippo Ottoni,Comedy,0,22123,220,Detective School Dropouts,PG,8/8/1986,92,5.8,David Landsberg,Lorin Dreyfuss,1986
CBS Entertainment Production,USA,Christopher Cain,Adventure,0,676166,351,Where the River Runs Black,PG,9/19/1986,100,6.6,Charles Durning,Neal Jimenez,1986
DIC Entertainment,Canada,Bruno Bianchi,Family,0,2193642,187,Heathcliff: The Movie,G,1/17/1986,73,5.3,Mel Blanc,George Gately,1986
AAR Films,USA,Dennis Klein,Comedy,0,32279,211,One More Saturday Night,R,8/22/1986,95,5.7,Tom Davis,Tom Davis,1986
Act III Communications,USA,Rob Reiner,Adventure,16000000,30857814,320953,The Princess Bride,PG,10/9/1987,98,8.1,Cary Elwes,William Goldman,1987
Cinemarque Entertainment BV,UK,Clive Barker,Horror,1000000,14564027,83209,Hellraiser,R,9/18/1987,94,7,Andrew Robinson,Clive Barker,1987
Natant,UK,Stanley Kubrick,Drama,30000000,46357676,537826,Full Metal Jacket,R,7/10/1987,116,8.3,Matthew Modine,Gustav Hasford,1987
Great American Films Limited Partnership,USA,Emile Ardolino,Drama,6000000,63952836,155978,Dirty Dancing,PG-13,8/21/1987,100,6.9,Patrick Swayze,Eleanor Bergstein,1987
Warner Bros.,USA,Joel Schumacher,Comedy,0,32222567,100376,The Lost Boys,R,7/31/1987,97,7.3,Jason Patric,Jan Fischer,1987
Amercent Films,USA,John McTiernan,Action,15000000,59735548,313213,Predator,R,6/12/1987,107,7.8,Arnold Schwarzenegger,Jim Thomas,1987
Braveworld Productions,USA,Paul Michael Glaser,Action,27000000,38122105,120345,The Running Man,R,11/13/1987,101,6.6,Arnold Schwarzenegger,Stephen King,1987
Brooksfilms,USA,Mel Brooks,Adventure,22700000,38119483,146748,Spaceballs,PG,6/24/1987,96,7.1,Mel Brooks,Mel Brooks,1987
Orion Pictures,USA,Paul Verhoeven,Action,13000000,53424681,196245,RoboCop,R,7/17/1987,102,7.5,Peter Weller,Edward Neumeier,1987
Warner Bros.,USA,Richard Donner,Action,15000000,65207127,204328,Lethal Weapon,R,3/6/1987,110,7.6,Mel Gibson,Shane Black,1987
Paramount Pictures,USA,Brian De Palma,Crime,25000000,76270454,234254,The Untouchables,R,6/3/1987,119,7.9,Kevin Costner,Oscar Fraley,1987
De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,3600000,5923044,123325,Evil Dead II,R,3/13/1987,84,7.8,Bruce Campbell,Sam Raimi,1987
Golan-Globus Productions,USA,Gary Goddard,Action,22000000,17336370,30370,Masters of the Universe,PG,8/7/1987,106,5.4,Dolph Lundgren,David Odell,1987
Home Box Office (HBO),USA,Fred Dekker,Action,12000000,3769990,21420,The Monster Squad,PG-13,8/14/1987,82,7.2,Andre Gower,Shane Black,1987
Paramount Pictures,USA,Adrian Lyne,Drama,14000000,156645693,60383,Fatal Attraction,R,9/18/1987,119,6.9,Michael Douglas,James Dearden,1987
Eon Productions,UK,John Glen,Action,30000000,51185897,74272,The Living Daylights,PG,7/31/1987,130,6.7,Timothy Dalton,Richard Maibaum,1987
Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,15000000,43848100,126195,Wall Street,R,12/11/1987,126,7.4,Charlie Sheen,Stanley Weiser,1987
Amblin Entertainment,USA,Steven Spielberg,Drama,35000000,22238696,96566,Empire of the Sun,PG,12/25/1987,153,7.8,Christian Bale,Tom Stoppard,1987
Apollo Pictures,USA,Steve Rash,Comedy,0,31623833,26348,Can't Buy Me Love,PG-13,8/14/1987,94,6.7,Patrick Dempsey,Michael Swerdlick,1987
Warner Bros.,USA,George Miller,Comedy,22000000,63766510,51642,The Witches of Eastwick,R,6/12/1987,118,6.5,Jack Nicholson,John Updike,1987
Paramount Pictures,USA,Carl Reiner,Comedy,0,35658098,14038,Summer School,PG-13,7/22/1987,97,6.5,Mark Harmon,Stuart Birnbaum,1987
New Line Cinema,USA,Chuck Russell,Action,4500000,44793222,55414,A Nightmare on Elm Street 3: Dream Warriors,R,2/27/1987,96,6.6,Heather Langenkamp,Wes Craven,1987
Touchstone Pictures,USA,Chris Columbus,Action,0,34368475,30850,Adventures in Babysitting,PG-13,7/3/1987,102,6.9,Elisabeth Shue,David Simkins,1987
RKO Pictures,USA,John Irvin,Action,0,13839404,20159,Hamburger Hill,R,8/28/1987,110,6.7,Anthony Barrile,James Carabatsos,1987
Universal Pictures,USA,Joseph Sargent,Adventure,23000000,20763013,33419,Jaws: The Revenge,PG-13,7/17/1987,89,2.9,Lorraine Gary,Peter Benchley,1987
Cannon Group,USA,Menahem Golan,Action,25000000,16057580,40916,Over the Top,PG,2/13/1987,93,5.7,Sylvester Stallone,Gary Conway,1987
Paramount Pictures,USA,John Hughes,Comedy,30000000,49530280,98897,"Planes, Trains & Automobiles",R,11/25/1987,93,7.6,Steve Martin,John Hughes,1987
Circle Films,USA,Joel Coen,Comedy,6000000,22847564,107669,Raising Arizona,PG-13,4/17/1987,94,7.4,Nicolas Cage,Ethan Coen,1987
Carolco International N.V.,UK,Alan Parker,Horror,17000000,17185632,67453,Angel Heart,R,3/6/1987,113,7.3,Mickey Rourke,William Hjortsberg,1987
Hughes Entertainment,USA,Howard Deutch,Drama,0,18553948,21931,Some Kind of Wonderful,PG-13,2/27/1987,95,7.1,Eric Stoltz,John Hughes,1987
Gladden Entertainment,USA,Michael Gottlieb,Comedy,6000000,42721196,24626,Mannequin,PG,2/13/1987,90,5.8,Andrew McCarthy,Edward Rugoff,1987
Hawn / Sylbert Movie Company,USA,Garry Marshall,Comedy,0,26713187,40429,Overboard,PG,12/16/1987,106,6.8,Goldie Hawn,Leslie Dixon,1987
Warner Bros.,USA,Joe Dante,Action,27000000,25893810,45172,Innerspace,PG,7/1/1987,120,6.8,Dennis Quaid,Chip Proser,1987
Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,15000000,80640528,38600,Moonstruck,PG,1/15/1988,102,7.1,Cher,John Patrick Shanley,1987
Paramount Pictures,USA,Tony Scott,Action,28000000,153665000,90969,Beverly Hills Cop II,R,5/20/1987,100,6.5,Eddie Murphy,Danilo Bach,1987
Amblin Entertainment,USA,William Dear,Comedy,0,29760613,26157,Harry and the Hendersons,PG,6/5/1987,110,5.9,John Lithgow,William Dear,1987
Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,23000000,43984230,76408,The Last Emperor,PG-13,4/15/1988,163,7.8,John Lone,Mark Peploe,1987
Touchstone Pictures,USA,Barry Levinson,Biography,13000000,123922370,106924,"Good Morning, Vietnam",R,1/15/1988,121,7.3,Robin Williams,Mitch Markowitz,1987
Merchant Ivory Productions,UK,James Ivory,Drama,2600000,3130592,11837,Maurice,R,9/18/1987,140,7.7,James Wilby,E.M. Forster,1987
Interscope Communications,USA,Leonard Nimoy,Comedy,11000000,167780960,39544,3 Men and a Baby,PG,11/25/1987,102,5.9,Tom Selleck,Coline Serreau,1987
Alive Films,USA,John Carpenter,Horror,3000000,14182492,28064,Prince of Darkness,R,10/23/1987,102,6.7,Donald Pleasence,John Carpenter,1987
Columbia Pictures Corporation,USA,Luis Valdez,Biography,6500000,54215416,22839,La Bamba,PG-13,7/24/1987,108,6.8,Lou Diamond Phillips,Luis Valdez,1987
F/M,USA,Kathryn Bigelow,Action,5000000,3369307,27485,Near Dark,R,1988,94,7,Adrian Pasdar,Kathryn Bigelow,1987
Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,0,3210139,51522,Wings of Desire,PG-13,5/6/1988,128,8.1,Bruno Ganz,Wim Wenders,1987
Twentieth Century Fox Film Corporation,USA,Marek Kanievska,Crime,0,12396383,15500,Less Than Zero,R,11/6/1987,98,6.4,Andrew McCarthy,Bret Easton Ellis,1987
Orion Pictures,USA,Roger Donaldson,Action,15000000,35509515,28684,No Way Out,R,8/14/1987,114,7.1,Kevin Costner,Kenneth Fearing,1987
Universal Pictures,USA,Matthew Robbins,Comedy,0,32945797,25330,*batteries not included,PG,12/18/1987,106,6.6,Hume Cronyn,Mick Garris,1987
United Artists,USA,Charles Shyer,Comedy,0,26712476,11414,Baby Boom,PG,10/30/1987,110,6.1,Diane Keaton,Nancy Meyers,1987
Cineplex-Odeon Films,UK,Bruce Robinson,Comedy,0,1544889,33285,Withnail & I,R,6/19/1987,107,7.8,Richard E. Grant,Bruce Robinson,1987
Fries Entertainment,USA,Jeffrey Bloom,Drama,0,15151736,7993,Flowers in the Attic,PG-13,11/20/1987,93,5.7,Louise Fletcher,Virginia C. Andrews,1987
Amercent Films,USA,James L. Brooks,Comedy,20000000,51249404,22802,Broadcast News,R,12/25/1987,133,7.2,William Hurt,James L. Brooks,1987
New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,2500000,13539458,11435,Túnel al infierno,PG-13,5/15/1987,85,6,Stephen Dorff,Michael Nankin,1987
Cannon Films,UK,Sidney J. Furie,Action,17000000,15681020,35866,Superman IV: The Quest for Peace,PG,7/24/1987,90,3.6,Christopher Reeve,Joe Shuster,1987
Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,3500000,14000000,17500,Creepshow 2,R,5/1/1987,92,6,George Kennedy,Stephen King,1987
Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,3000000,7888703,8905,Teen Wolf Too,PG,11/20/1987,95,3.2,Jason Bateman,Jeph Loeb,1987
Columbia Pictures Industries,USA,Fred Schepisi,Comedy,12000000,40050884,34794,Roxanne,PG,6/19/1987,107,6.6,Steve Martin,Edmond Rostand,1987
Rastar Pictures,USA,Herbert Ross,Comedy,12000000,66995879,24685,The Secret of My Succe$s,PG-13,4/10/1987,111,6.5,Michael J. Fox,Jim Cash,1987
Applied Action,USA,Tom Mankiewicz,Comedy,20000000,57387516,27387,Dragnet,PG-13,6/26/1987,106,5.9,Dan Aykroyd,Dan Aykroyd,1987
British Screen Productions,UK,Alan Clarke,Comedy,0,124167,2747,"Rita, Sue and Bob Too",R,5/29/1987,93,6.4,Siobhan Finneran,Andrea Dunbar,1987
TriStar Pictures,USA,Blake Edwards,Comedy,18000000,39321715,17903,Blind Date,PG-13,3/27/1987,95,5.9,Kim Basinger,Dale Launer,1987
New World Pictures,USA,Ethan Wiley,Comedy,0,7800000,8302,House II: The Second Story,PG-13,8/28/1987,88,5.4,Arye Gross,Fred Dekker,1987
Warner Bros.,USA,Jim Drake,Comedy,0,28061343,33955,Police Academy 4: Citizens on Patrol,PG,4/3/1987,88,4.8,Steve Guttenberg,Neal Israel,1987
Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1000000,1576615,6348,The Garbage Pail Kids Movie,PG,8/22/1987,100,2.7,Anthony Newley,Linda Palmer,1987
Orion Pictures,USA,Danny DeVito,Comedy,14000000,57915972,28550,Throw Momma from the Train,PG-13,12/11/1987,88,6.2,Danny DeVito,Stu Silver,1987
Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,0,2488740,9959,The Stepfather,R,6/5/1987,89,6.8,Terry O'Quinn,Carolyn Lefcourt,1987
Heron Communications,USA,Jack Sholder,Action,0,9747988,13878,The Hidden,R,10/30/1987,96,7,Kyle MacLachlan,Jim Kouf,1987
Universal Pictures,USA,Joe Dante,Comedy,0,548696,8755,Amazon Women on the Moon,R,9/18/1987,85,6.2,Rosanna Arquette,Michael Barrie,1987
Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3000000,3221568,15647,Barfly,R,10/16/1987,100,7.3,Mickey Rourke,Charles Bukowski,1987
Universal Pictures,USA,Phil Joanou,Comedy,6000000,3685862,8970,Three O'Clock High,PG-13,10/9/1987,97,7.2,Casey Siemaszko,Richard Christian Matheson,1987
Panorama Film A/S,Denmark,Gabriel Axel,Comedy,0,4398938,14838,Babette's Feast,G,3/4/1988,102,7.8,Stéphane Audran,Karen Blixen,1987
Orion Pictures,USA,John Schlesinger,Crime,0,18753438,4900,The Believers,R,6/10/1987,114,6.1,Martin Sheen,Mark Frost,1987
Amercent Films,USA,James Toback,Comedy,15000000,13290368,5348,The Pick-up Artist,PG-13,9/18/1987,81,5.2,Molly Ringwald,James Toback,1987
Orion Pictures,USA,Woody Allen,Comedy,16000000,14792779,26467,Radio Days,PG,1/30/1987,88,7.6,Mia Farrow,Woody Allen,1987
Lightyear Entertainment,UK,Robert Altman,Comedy,0,1028679,2243,Aria,R,10/30/1987,90,5.8,John Hurt,Robert Altman,1987
Emshell Producers,USA,John R. Cherry III,Comedy,3000000,23509382,9526,Ernest Goes to Camp,PG,5/22/1987,92,5.5,Jim Varney,John R. Cherry III,1987
Nouvelles Éditions de Films (NEF),France,Louis Malle,Drama,0,4542825,25969,Au Revoir les Enfants,PG,2/12/1988,104,8,Gaspard Manesse,Louis Malle,1987
Columbia Pictures Corporation,USA,Ridley Scott,Crime,17000000,10278549,7854,Someone to Watch Over Me,R,10/9/1987,106,6.1,Tom Berenger,Howard Franklin,1987
"Guber-Peters Company, The",USA,James Foley,Comedy,0,7305209,8125,Who's That Girl,PG,8/7/1987,92,4.7,Madonna,Andrew Smith,1987
Universal Pictures,UK,Richard Attenborough,Biography,29000000,5899797,10692,Cry Freedom,PG,11/6/1987,157,7.5,Denzel Washington,John Briley,1987
Fourth Protocol,UK,John Mackenzie,Thriller,6000000,12423831,7532,The Fourth Protocol,R,8/28/1987,119,6.5,Michael Caine,George Axelrod,1987
Home Box Office (HBO),USA,Hector Babenco,Drama,27000000,7393346,6874,Ironweed,R,2/12/1988,143,6.8,Jack Nicholson,William Kennedy,1987
Amercent Films,USA,Bob Rafelson,Crime,0,25205460,7132,Black Widow,R,2/6/1987,102,6.3,Debra Winger,Ronald Bass,1987
Touchstone Pictures,USA,John Badham,Action,0,65673233,20039,Stakeout,R,8/5/1987,117,6.6,Richard Dreyfuss,Jim Kouf,1987
Imagine Films Entertainment,USA,Rod Daniel,Comedy,0,34377585,4817,Like Father Like Son,PG-13,10/2/1987,96,5.1,Dudley Moore,Lorne Cameron,1987
Pelemele Film,West Germany,Percy Adlon,Comedy,0,3587303,10255,Bagdad Cafe,PG,4/22/1988,95,7.5,Marianne Sägebrecht,Eleonore Adlon,1987
Cannon Group,USA,Andrey Konchalovskiy,Drama,0,769119,940,Shy People,R,3/11/1988,100,6.9,Jill Clayburgh,Andrey Konchalovskiy,1987
Twentieth Century Fox Film Corporation,USA,Joe Roth,Comedy,0,30063289,11444,Revenge of the Nerds II: Nerds in Paradise,PG-13,7/10/1987,88,4.9,Robert Carradine,Tim Metcalfe,1987
Simcom Limited,Canada,Bruce Pittman,Horror,0,2683519,3440,Prom Night II,R,11/13/1987,97,5.6,Lisa Schrage,Ron Oliver,1987
Cannon Group,USA,J. Lee Thompson,Action,5000000,6880310,6770,Death Wish 4: The Crackdown,R,11/6/1987,99,5.3,Charles Bronson,Brian Garfield,1987
Amercent Films,USA,Jonathan Kaplan,Comedy,18000000,18532286,8879,Project X,PG,4/17/1987,108,6.1,Matthew Broderick,Lawrence Lasker,1987
Finnegan/Pinchuk Productions,USA,William Phelps,Action,0,3832228,1903,North Shore,PG,8/14/1987,96,6.5,Matt Adler,William Phelps,1987
7 Films Cinéma,France,Élie Chouraqui,Action,0,519596,1340,Man on Fire,R,9/4/1987,87,5.9,Scott Glenn,A.J. Quinnell,1987
Cannon Films,USA,Ruggero Deodato,Fantasy,4000000,800000,2538,The Barbarians,R,3/20/1987,87,4.9,David Paul,Alberto Piferi,1987
Columbia Pictures Corporation,USA,Elaine May,Action,55000000,14375181,9094,Ishtar,PG-13,5/15/1987,107,4.2,Warren Beatty,Elaine May,1987
Conquering Unicorn,USA,Robert Townsend,Comedy,100000,5228617,3009,Hollywood Shuffle,R,3/20/1987,78,7,Robert Townsend,Robert Townsend,1987
Marimark Productions,USA,Lawrence Bassoff,Comedy,0,1749956,1042,Hunk,PG,3/6/1987,102,4.6,John Allen Nelson,Lawrence Bassoff,1987
Filmhaus,USA,David Mamet,Crime,0,2585639,17508,House of Games,R,10/14/1987,102,7.3,Lindsay Crouse,David Mamet,1987
Not specified,USA,Peter Werner,Crime,0,2877571,3297,No Man's Land,R,10/23/1987,100,6.1,Charlie Sheen,Dick Wolf,1987
Trans World Entertainment (TWE),USA,David Keith,Sci-Fi,0,1930001,1762,The Curse,R,9/11/1987,92,4.9,Wil Wheaton,David Chaskin,1987
TriStar Pictures,USA,Peter Yates,Crime,0,18782400,7506,Suspect,R,10/23/1987,121,6.6,Cher,Eric Roth,1987
TriStar Pictures,USA,Christopher Cain,Action,0,19734940,7311,The Principal,R,9/18/1987,109,6.2,Jim Belushi,Frank Deese,1987
Columbia Pictures Corporation,UK,John Boorman,Comedy,0,10021120,10291,Hope and Glory,PG-13,2/19/1988,113,7.4,Sarah Miles,John Boorman,1987
Touchstone Pictures,USA,Arthur Hiller,Comedy,0,52864741,6123,Outrageous Fortune,R,1/30/1987,99,6.1,Shelley Long,Leslie Dixon,1987
Carolco Entertainment,USA,Walter Hill,Action,22000000,11307844,4924,Extreme Prejudice,R,4/24/1987,96,6.6,Nick Nolte,John Milius,1987
Cannon Group,USA,Sam Firstenberg,Action,350000,4000000,6565,American Ninja 2: The Confrontation,R,5/1/1987,90,4.8,Michael Dudikoff,Gary Conway,1987
Cinecom Entertainment Group,USA,John Sayles,Drama,4000000,1680358,6198,Matewan,PG-13,6/30/1988,135,7.9,Chris Cooper,John Sayles,1987
Vista Organization,USA,Bill Norton,Drama,0,1539000,813,Three for the Road,PG,5/5/1988,88,5.3,Charlie Sheen,Richard Martini,1987
Columbia Pictures,USA,Paul Weiland,Action,24000000,4916871,7387,Leonard Part 6,PG,12/18/1987,85,2.2,Bill Cosby,Jonathan Reynolds,1987
Golan-Globus Productions,USA,Jerry Schatzberg,Crime,5000000,1119112,2096,Street Smart,R,3/20/1987,97,6.4,Christopher Reeve,David Freeman,1987
Zenith Entertainment,UK,Stephen Frears,Biography,0,1654743,4799,Prick Up Your Ears,R,5/8/1987,105,7.4,Gary Oldman,Alan Bennett,1987
Gladden Entertainment,USA,Michael Cimino,Action,9000000,5406879,3889,The Sicilian,R,10/23/1987,115,5.3,Christopher Lambert,Mario Puzo,1987
